block_slot,block_hash,block_timestamp,commission,lamports,post_balance,pubkey,reward_type
292312042,ArdhKN3gGT8pTvRGPxkhX7d31X2R5ZV5nMkmx5QAmUgz,2024-09-27 13:26:42.000000 UTC,,12657027,4421480299604,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,Fee
292312052,6yjPerYH46JHzrWk9U1Pd6XHqkra3uH4nCQsNq6WTvis,2024-09-27 13:26:46.000000 UTC,,55387868,17488176421,GQiWnDYrzHMALWG9avt5FCu1wisAQHjGY5ve7GMBiPEe,Fee
292312056,A3vph9dTjwXMAB3LNUS2wSDFCnyiXouDYvCSgiVJSJE4,2024-09-27 13:26:48.000000 UTC,,23055052,66861657299,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Fee
292312060,CMwEiUqEH36t4m5x6mW9jXmR3UwMJrTFzuJ1joohVfHF,2024-09-27 13:26:50.000000 UTC,,40626637,5987672928,FniyXWNu3EXWX9fXubLpFcDJ4h4T8VDCJEXCwVY2wFRh,Fee
292312065,7U6M9HQHRj4ZEjMMZaNLuYjFkBvXTXH6PQncch98FALi,2024-09-27 13:26:53.000000 UTC,,5182887,9700819230,3DaPk6TdeGnEBwTR8fEyZSLkdayk6vZXrqGZhAgYK8BV,Fee
292312070,ACwNS5V7yBGjuqDC3eEMwBBmwsmhksTxDMKgmHfM9H7q,2024-09-27 13:26:56.000000 UTC,,22667670,1682168044116,CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,Fee
292312074,EvgRcCqd6yd8X33DK9kkx4fTMb6ExHRdZjkmWSwU1rsV,2024-09-27 13:26:58.000000 UTC,,10291115,155485684208,Ah95vWS61zmcbreP7KWcJizUCpQqnGxN4feEaeADfX2d,Fee
292312080,4NC3C5GujDSTBvNeCfr9G9BVmdYkdSTsNeqmAPyTxZtN,2024-09-27 13:27:01.000000 UTC,,20179196,129548091,5Mu8kLG6kNPN8Eooc4A7a9PHeuqutTM5hQZtfB72Gsmb,Fee
292312084,8rYtEBfkuXsZNffUMDjgr4RNyPEEkDSieknetFS3JAyj,2024-09-27 13:27:02.000000 UTC,,27172327,184828958665,JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,Fee
292312090,BCeCWqDtWEM5GB93tRTVnWoHLnnS43Rr5bSMfZpGyJhH,2024-09-27 13:27:05.000000 UTC,,27295940,185082829817,JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,Fee
292312094,EZseBeEs2Qs3HyBhYAF2De34XM3gf8WjsUCYJbJ8R522,2024-09-27 13:27:07.000000 UTC,,11798327,7952478394,FPPo2aGYYwDWK1Rmr4sXjiCaZzzMwGKi67ijAiVZKwb8,Fee
292312100,4Bo6834Skq4nQLjJDdghGJvRAnMdz8fYZJZ9EKHfU4PK,2024-09-27 13:27:10.000000 UTC,,13384668,54069112636,DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp,Fee
292312105,4gQ2gWzoT3SGLQkYou8gzPJYVaTWD9evadSXjfJxzTNK,2024-09-27 13:27:12.000000 UTC,,7728690,1730905676906,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Fee
292311807,FPCwNFZbMoS4rKaZub7dZf7SAMo6h31b1FWdbDUn84ii,2024-09-27 13:24:55.000000 UTC,,24580791,1818846730596,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Fee
292311811,HKEVWYU7CMQ26rZAFoFv36Cd4DXZQ74NjtbD1YZUXwWD,2024-09-27 13:24:57.000000 UTC,,20826928,1730880982677,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Fee
292311817,CXkVcv57nFWKBKcqVP5searwWQ8zgaCubCiS5jyeP1W2,2024-09-27 13:24:59.000000 UTC,,7565334,134142058005,FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH,Fee
292311823,64VSFwBwcFovMGq8bL1rP5tRU14GCB4XJGw23UXBbRnU,2024-09-27 13:25:04.000000 UTC,,4549695,8275199985609,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,Fee
292311826,YNHWzQS8iCZNmbSgq6AeXnARkQ7VX8bfrfYqxGiLjjf,2024-09-27 13:25:06.000000 UTC,,8947367,148257726452,8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM,Fee
292311833,6Xb84HdeVxx6XrteaLNwjGGDGXCFbTDGfv4irM9Ub8mR,2024-09-27 13:25:09.000000 UTC,,8633198,8767827870,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Fee
292311838,AYhu3xp9nrekm4NFQ4dEK9VnqmVQX1tNUtcR1CFpLx4,2024-09-27 13:25:11.000000 UTC,,13495495,646271343816,46nbPAKDbvAFEDQxP16QR7dQHTMVGhnrN6gPs3FrSJzc,Fee
292311842,75VLtb45UpuUQjGHQXDDB3sybPkawUCXVHkgD4U3WYRx,2024-09-27 13:25:13.000000 UTC,,16972100,22884277112,9ixkRQFUmQfDfJ9sBzJMs8QeBpqz4AeR94n623eaYK2S,Fee
292311844,9m3CbP714YyYGDWiN4hDpusGL7drCfEq5T2yzdyifKPw,2024-09-27 13:25:14.000000 UTC,,13374565,8806135165,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Fee
292311853,6pNyDN25GSNRikvf7qY3v5zKDPmPnurXEsp9L2wm8xWE,2024-09-27 13:25:18.000000 UTC,,12558208,1818896236295,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Fee
292311856,3eD3bqZepzjbUi6Lm5u18razWK1FffNvYyCm8okmS8pe,2024-09-27 13:25:19.000000 UTC,,13972489,10918179278,CwhdMezLucz7bcuWzStpLXgrzKGC2tBBiaVmJZjfprRN,Fee
